Product Name,Set Name,Sell Price
Vexing Sphinx,Coldsnap,0.55
Ghost Quarter,Dissension,3.86
Vizzerdrix,Seventh Edition,0.32
Copy Artifact,Limited Edition Alpha,493.54
Empyrial Archangel,Shards of Alara,2.72
Blinding Angel,Eighth Edition,2.17
Zo-Zu the Punisher,Champions of Kamigawa,1.89
"Basandra, Battle Seraph",Magic: The Gathering-Commander,1.23
Hurricane,Portal,0.60
"Ghave, Guru of Spores",Magic: The Gathering-Commander,2.66
Goblin Bomb,Weatherlight,3.19
Hanna's Custody,Tempest,1.04
Stitch Together,Judgment,0.90
Gisa and Geralf,Eldritch Moon,1.53
Thundering Wurm,Portal,1.07
Island (256 Full Art),Battle for Zendikar,0.25
Petra Sphinx,Legends,4.49
Sphinx Ambassador,Magic 2010,4.25
Swamp,Ice Age,1.08
Library of Leng,Unlimited Edition,3.42
Xira Arien,Legends,9.90
Oath of Druids,Exodus,3.94
Wipe Away,Time Spiral,0.54
Inquisition of Kozilek,Rise of the Eldrazi,4.49
Headless Horseman,Legends,0.37
Quest for Renewal,Worldwake,0.49
Thorn of Amethyst,Lorwyn,17.09
Visions,Legends,0.48
Shadowmage Infiltrator,"Time Spiral ""Timeshifted""",0.98
Traumatize,Magic 2010,1.88
Lullmage Mentor,Zendikar,0.66
Compulsive Research,Ravnica: City of Guilds,0.17
Erg Raiders,Arabian Nights,0.90
Intuition,Tempest,33.23
Kormus Bell,Unlimited Edition,6.72
Dauntless Dourbark,Lorwyn,4.06
Hand of Death,Starter 2000,0.70
Jhoira's Timebug,Time Spiral,0.20
Amnesia,The Dark,0.90
Eladamri's Vineyard,Tempest,1.24
Drain Power,Limited Edition Alpha,142.16
Phantasmal Terrain,Limited Edition Alpha,40.00
Shivan Dragon,Fourth Edition,0.70
Ramses Overdark,Legends,21.10
Scathe Zombies,Limited Edition Alpha,4.15
Devoted Druid,Shadowmoor,6.24
"Cho-Manno, Revolutionary",Tenth Edition,0.58
Engineered Plague,Seventh Edition,0.52
Angel of Invention,Kaladesh,7.56
Landfill,Unglued,0.48
Storm World,Legends,34.97
Karplusan Minotaur,Coldsnap,1.19
Hex,Magic: The Gathering-Commander,0.64
Sphinx of the Steel Wind,Alara Reborn,1.34
Burning Cinder Fury of Crimson Chaos Fire,Unglued,0.79
Plains (A),Limited Edition Alpha,20.00
Angelic Voices,Legends,4.09
Serra Angel,Limited Edition Alpha,399.99
Serra Angel,Limited Edition Beta,103.89
Wall of Fire,Limited Edition Alpha,9.50
Urza's Tower (Forest),Antiquities,8.31
Might of Old Krosa,Time Spiral,1.51
Indomitable Ancients,Morningtide,4.19
Island (287) ,Shadowmoor,0.44
Whirling Dervish,Legends,7.86
Lord of the Undead,Eighth Edition,12.17
Mishra's Factory,Fourth Edition,1.41
Serra Angel,Unlimited Edition,13.99
Keldon Warlord,Limited Edition Alpha,75.00
Primeval Titan,Magic 2012,8.11
Inspiring Vantage,Kaladesh,3.99
Vampire Nighthawk,Magic 2013,0.55
Stuffy Doll,Time Spiral,3.13
Form of the Squirrel,Unhinged,3.03
Crusade,Duel Decks: Elspeth vs. Tezzeret,0.82
Infinite Authority,Legends,19.22
Patriarch's Bidding,Onslaught,18.48
Dark Ritual,Beatdown Box Set,1.22
Royal Assassin,Limited Edition Beta,203.42
Hell's Caretaker,Legends,16.46
Explosive Vegetation,Magic: The Gathering-Commander,1.29
Rancor,Archenemy,2.58
Safe Haven,The Dark,0.92
Armageddon,Revised Edition,3.45
Marble Diamond,Seventh Edition,0.28
Path to Exile,Archenemy,8.45
Adaptive Automaton,Magic 2012,6.00
"Krenko, Mob Boss",Magic 2013,3.82
Zur the Enchanter,Modern Masters 2017,0.94
Pendrell Mists,Weatherlight,5.05
Alluring Scent,Starter 1999,0.82
Ivory Tower,Fourth Edition,1.31
Berserk,Limited Edition Alpha,337.19
Berserk,Unlimited Edition,64.14
Guardian of the Guildpact,Dissension,0.20
Island (2004),Arena Promos,2.40
Ghitu Fire,Invasion,0.33
Granite Gargoyle,Limited Edition Beta,67.60
Merchant Ship,Arabian Nights,18.71
Mana Short,Limited Edition Beta,79.55
Phantasmal Forces,Limited Edition Alpha,10.03
Mana Leak,Magic 2012,0.32
Celestial Prism,Limited Edition Beta,2.86
One with Nothing,Saviors of Kamigawa,1.92
Grim Tutor,Starter 1999,219.50
Balduvian Trading Post,Alliances,0.90
Dismember,New Phyrexia,2.94
Mind Twist (IE),International Edition,14.99
Contamination,Urza's Saga,14.84
Chaos Confetti,Unglued,0.85
Ward Sliver,Legions,0.85
Goblin Warrens,Classic Sixth Edition,1.03
Peregrine Drake,Urza's Saga,1.16
Reaper from the Abyss,Innistrad,1.16
Immerwolf,Dark Ascension,0.88
Eye of the Storm,Ravnica: City of Guilds,1.45
Harmonic Sliver,Time Spiral,2.55
Sedge Sliver,Time Spiral,9.35
Academy at Tolaria West,Planechase,3.84
Tropical Island,Unlimited Edition,334.99
Tropical Island,Revised Edition,238.74
Land Tax,Legends,37.44
Land Tax,Fourth Edition,23.09
Land Tax,Battle Royale Box Set,23.99
Master of the Wild Hunt,Magic 2010,11.63
Mangara of Corondor,Time Spiral,2.97
Umbral Mantle,Shadowmoor,5.10
Viridian Shaman,Tenth Edition,0.23
Rite of Replication,Zendikar,3.06
Copper Tablet,Unlimited Edition,12.00
Final Fortune,Seventh Edition,1.36
High Market,Mercadian Masques,2.69
Goblin Wizard,The Dark,16.74
Architects of Will,Archenemy,0.48
Disciple of Bolas,Magic 2013,1.30
Grave Pact,Eighth Edition,17.71
Taiga,Revised Edition,94.99
Scrubland,Revised Edition,103.50
Buried Alive,Magic: The Gathering-Commander,4.51
Preordain,Duel Decks: Venser vs. Koth,2.84
Cranial Plating,Planechase,1.34
Sword of the Meek,Future Sight,7.49
Congregation at Dawn,Ravnica: City of Guilds,1.06
Illusionary Mask,Limited Edition Beta,307.50
Talus Paladin,Worldwake,1.15
Dark Impostor,Avacyn Restored,0.79
Pack Rat,Return to Ravnica,1.59
Spirit Link,Eighth Edition,0.36
Cleanse,Legends,27.50
Dawnstrider,Mercadian Masques,0.82
Fountain Watch,Mercadian Masques,2.81
Skybreen,Planechase,3.95
Adarkar Wastes,Ice Age,5.36
Dreadbore,Return to Ravnica,2.04
"Ib Halfheart, Goblin Tactician",Duel Decks: Elves vs. Goblins,1.53
Blightsteel Colossus,Mirrodin Besieged,28.27
Control Magic,Limited Edition Beta,29.95
Plains,Battle Royale Box Set,1.49
Signal Pest,Mirrodin Besieged,0.80
Wild Growth,Limited Edition Beta,4.90
Moment's Peace,Odyssey,1.95
Slayers' Stronghold,Avacyn Restored,0.50
Warrior Angel,Stronghold,0.53
Collective Voyage,Commander 2016,1.57
Control Magic,Limited Edition Alpha,119.90
Control Magic,Unlimited Edition,2.65
Braingeyser,Unlimited Edition,38.95
Rod of Ruin,Limited Edition Beta,6.54
Oasis,Arabian Nights,3.30
Ivory Tower,Revised Edition,1.71
Lim-Dul's Vault,Alliances,1.18
Animate Dead,Fourth Edition,1.25
Dense Foliage,Weatherlight,0.73
Storm Crow,Seventh Edition,0.21
Baleful Strix,Planechase 2012 Edition,3.25
"Ink-Eyes, Servant of Oni",Betrayers of Kamigawa,3.86
Blatant Thievery,Commander 2015,1.47
Cyclonic Rift,Return to Ravnica,7.09
Elvish Champion,Invasion,6.00
"Sigarda, Host of Herons",Avacyn Restored,14.48
Exquisite Blood,Avacyn Restored,18.38
Dakmor Salvage,Future Sight,1.84
Elvish Archdruid,Magic 2013,2.41
Chord of Calling,Ravnica: City of Guilds,12.52
Hellcarver Demon,Rise of the Eldrazi,1.02
"Kalitas, Traitor of Ghet",Oath of the Gatewatch,9.91
It That Betrays,Rise of the Eldrazi,3.93
Vampiric Dragon,Odyssey,1.87
Abu Ja'far,Arabian Nights,8.64
Abundance,Tenth Edition,2.27
Air Elemental,Unlimited Edition,0.71
Abundance,Urza's Saga,2.09
Lord of Atlantis,Limited Edition Beta,331.74
Exhume,Urza's Saga,1.93
"Elesh Norn, Grand Cenobite",New Phyrexia,18.16
Patron of the Moon,Betrayers of Kamigawa,1.42
Arena,"Time Spiral ""Timeshifted""",1.24
Pyroclasm,Ninth Edition,0.53
Ranger of Eos,Modern Masters 2017,1.87
Alluring Scent,Portal,0.89
Earth Elemental,Limited Edition Alpha,8.10
Oversold Cemetery,Onslaught,5.84
Murmuring Bosk,Morningtide,2.44
Rugged Prairie,Eventide,21.70
Sun Titan,Magic 2011,3.83
Leyline of Punishment,Magic 2011,2.97
Coat of Arms,Eighth Edition,7.51
Goblin Welder,Urza's Legacy,3.86
Gemstone Mine,"Time Spiral ""Timeshifted""",7.23
Carven Caryatid,Ravnica: City of Guilds,0.43
Abyssal Horror,Starter 1999,0.67
Shaman en-Kor,Stronghold,0.84
Phantom Monster,Limited Edition Alpha,11.49
Energy Field,Urza's Saga,4.80
Zur's Weirding,Fifth Edition,0.50
Myr Superion,New Phyrexia,1.69
Eldrazi Temple,Rise of the Eldrazi,11.25
Undead Gladiator,Onslaught,0.85
Fabricate,Magic 2010,3.23
Pillar of the Paruns,Dissension,4.40
Kill! Destroy!,Unhinged,1.15
Unholy Citadel,Legends,0.94
Fastbond,Revised Edition,17.98
Kudzu,Limited Edition Alpha,117.44
Darkblast,Ravnica: City of Guilds,1.52
Phantasmal Terrain,Limited Edition Beta,3.01
Flight,Limited Edition Alpha,3.85
Jerrard of the Closed Fist,Legends,0.88
Air Elemental,Limited Edition Beta,6.00
Thoughtlace,Unlimited Edition,2.36
Salt Flats,Tempest,0.74
Hurkyl's Recall,Fourth Edition,3.30
Mana Short,Fourth Edition,0.69
Part Water,Legends,0.43
Volrath's Shapeshifter,Stronghold,6.00
Mystical Tutor,Mirage,6.68
Kukemssa Pirates,Mirage,4.48
Meditate,Tempest,4.54
Capsize,Tempest,1.25
Zombie Master,Fourth Edition,2.93
Oona's Blackguard,Morningtide,1.54
Lightning Greaves,Magic: The Gathering-Commander,3.79
Mountain (343) ,Urza's Saga,0.40
Ghostly Prison,Magic: The Gathering-Commander,3.59
"Circu, Dimir Lobotomist",Ravnica: City of Guilds,2.56
Marsh Flats,Modern Masters 2017,30.73
Illusionist's Bracers,Gatecrash,2.35
Deathpact Angel,Gatecrash,0.93
Enter the Infinite,Gatecrash,1.65
Nether Shadow,Limited Edition Beta,81.50
Hyperion Blacksmith,Legends,0.46
Black Vise,Limited Edition Beta,47.96
AEther Membrane,Planar Chaos,0.87
Dark Confidant,Ravnica: City of Guilds,51.02
Chrome Mox,Mirrodin,19.68
Tempered Steel,Scars of Mirrodin,1.54
Savannah Lions,Revised Edition,0.86
Gilded Drake,Urza's Saga,25.23
Thicket Basilisk,Limited Edition Alpha,15.21
Disrupting Shoal,Betrayers of Kamigawa,9.20
Questing Phelddagrif,Planeshift,1.15
Darksteel Garrison,Future Sight,0.69
Sunblast Angel,Duel Decks: Venser vs. Koth,0.64
Glory,Judgment,1.33
"Tahngarth, Talruum Hero",Planeshift,0.90
"Tahngarth, Talruum Hero",Planeshift,0.90
Dominus of Fealty,Magic: The Gathering-Commander,2.99
Sapling of Colfenor,Eventide,6.95
Manabarbs,Limited Edition Beta,50.00
Countryside Crusher,Morningtide,0.95
Dark Sphere,The Dark,1.57
Scarecrone,Eventide,10.85
Lhurgoyf,Ice Age,0.47
Primal Order,Fifth Edition,0.40
Sphinx-Bone Wand,Rise of the Eldrazi,0.42
Fastbond,Unlimited Edition,39.47
Indestructibility,Magic 2014 Core Set,0.69
Chainer's Edict,Torment,5.42
Furnace of Rath,Tempest,1.52
Winds of Change,Fourth Edition,4.80
Glen Elendra Archmage,Modern Masters,15.98
Grand Arbiter Augustin IV,Modern Masters,7.59
Knight of the Reliquary,Modern Masters,7.32
"Oona, Queen of the Fae",Modern Masters,4.28
Dark Confidant,Modern Masters,49.94
Crusade,Limited Edition Beta,180.00
Reshape,Darksteel,3.81
Devout Invocation,Magic 2014 Core Set,1.49
Tarmogoyf,Modern Masters,75.00
Boros Reckoner,Gatecrash,0.90
Evolutionary Leap,Magic Origins,0.57
Vendilion Clique,Modern Masters,29.23
Sword of Fire and Ice,Modern Masters,49.97
Northern Paladin,Limited Edition Beta,47.58
"Elspeth, Knight-Errant",Modern Masters,14.49
Engineered Explosives,Modern Masters,47.99
"Gideon, Champion of Justice",Gatecrash,3.78
Aurelia's Fury,Gatecrash,0.97
Worst Fears,Journey into Nyx,0.76
"Oloro, Ageless Ascetic",Commander 2013 Edition,4.32
Savannah,Revised Edition,98.96
Obstinate Baloth,Magic 2011,2.57
Relentless Dead,Shadows over Innistrad,5.46
"Garruk, Caller of Beasts",Magic 2014 Core Set,5.53
Heartless Summoning,Innistrad,0.84
Savannah Lions,Ninth Edition,0.79
Witchbane Orb,Innistrad,0.73
Mentor of the Meek,Innistrad,0.89
Dictate of Erebos,Journey into Nyx,5.15
Mayor of Avabruck,Innistrad,4.06
Volcanic Eruption,Limited Edition Alpha,152.46
Dragonskull Summit,Magic 2012,2.89
Suture Priest,New Phyrexia,0.31
"Ezuri, Renegade Leader",Scars of Mirrodin,5.50
Hallowed Fountain,Return to Ravnica,7.89
Myr Battlesphere,Scars of Mirrodin,0.57
Brainstorm,Commander 2015,1.00
Smoke,Revised Edition,0.97
Shape Anew,Scars of Mirrodin,0.51
Awakening Zone,Magic: The Gathering-Commander,3.32
Brion Stoutarm,Magic: The Gathering-Commander,0.78
Dreamborn Muse,Magic: The Gathering-Commander,0.51
Liliana Vess,Magic 2011,7.03
No Mercy,Urza's Legacy,16.37
Entrapment Maneuver,Commander 2016,0.62
Liliana's Caress,Magic 2011,3.00
All Suns' Dawn,Fifth Dawn,0.50
Beacon of Creation,Fifth Dawn,2.83
Bringer of the Black Dawn,Fifth Dawn,2.25
Twilight Shepherd,Shadowmoor,0.99
Trygon Predator,Modern Masters,0.47
Bringer of the White Dawn,Fifth Dawn,1.23
Silence,Magic 2011,1.35
Tornado Elemental,Fifth Dawn,0.64
Jack-in-the-Mox,Unglued,7.94
Mox Lotus,Unhinged,8.32
Sinkhole,Limited Edition Beta,40.38
Drop of Honey,Arabian Nights,349.99
Chorus of the Conclave,Ravnica: City of Guilds,0.40
"Ashling, the Extinguisher",Eventide,4.12
Fetid Heath,Eventide,34.67
Hateflayer,Eventide,3.07
Twilight Mire,Eventide,29.11
Angus Mackenzie,Legends,147.50
Avoid Fate,Legends,1.97
Chain Lightning,Legends,7.24
Gravity Sphere,Legends,48.04
Hammerheim,Legends,2.88
In the Eye of Chaos,Legends,85.59
Nicol Bolas,Legends,135.95
Reset,Legends,18.46
Doomsday,Classic Sixth Edition,3.99
Scavenging Ooze,Magic 2014 Core Set,2.64
Rise of the Dark Realms,Magic 2014 Core Set,11.01
Doubling Season,Modern Masters,58.56
Dust Bowl,Mercadian Masques,10.24
Glimmervoid,Modern Masters,16.19
Sliver Legion,Future Sight,44.89
Blood Baron of Vizkopa,Dragon's Maze,1.24
"Kaseto, Orochi Archmage",Commander 2015,0.77
Iwamori of the Open Fist,Betrayers of Kamigawa,0.46
Omniscience,Magic 2013,25.58
"Ajani, Caller of the Pride",Magic 2013,5.85
Thespian's Stage,Gatecrash,2.82
Soothsaying,Mercadian Masques,3.19
Creature Bond,Limited Edition Alpha,5.89
Repentant Blacksmith,Arabian Nights,19.51
Iron Star,Limited Edition Alpha,7.56
Geist of Saint Traft,Innistrad,11.92
Jihad,Arabian Nights,80.00
Young Pyromancer,Magic 2014 Core Set,0.85
Channel,Limited Edition Alpha,54.84
Heartbeat of Spring,Champions of Kamigawa,4.79
Swords to Plowshares,Limited Edition Beta,162.73
Serum Visions,Conspiracy: Take the Crown,2.50
Grave Titan,Magic 2012,11.30
Grand Arbiter Augustin IV,Dissension,8.09
Ajani Vengeant,Shards of Alara,10.10
Winds of Change,Legends,15.16
Helm of Chatzuk,Limited Edition Beta,28.32
Volcanic Island,Limited Edition Beta,1614.99
Lifelace,Limited Edition Alpha,95.75
Liliana of the Veil,Innistrad,88.30
Galerider Sliver,Magic 2014 Core Set,4.49
Urza's Incubator,Commander 2015,18.53
Ivory Mask,Eighth Edition,0.75
"Ertai, Wizard Adept",Exodus,9.95
Eternal Witness,Fifth Dawn,6.53
Detention Sphere,Return to Ravnica,1.51
Craterhoof Behemoth,Avacyn Restored,14.48
Sacred Foundry,Gatecrash,15.82
Fangren Firstborn,Darksteel,0.87
Mind Slash,Eighth Edition,0.64
Fireblast,Duel Decks: Jace vs. Chandra,1.54
Condescend,Duel Decks: Jace vs. Chandra,1.26
Goblin Grenade,Magic 2012,1.19
Thoughtseize,Theros,15.70
Island (170) ,Portal Three Kingdoms,2.00
True Believer,Onslaught,1.11
Moonveil Dragon,Dark Ascension,1.76
Dragonskull Summit,Magic 2013,2.80
Sensei Golden-Tail,Champions of Kamigawa,1.80
Cursed Land,Limited Edition Beta,4.17
Huntmaster of the Fells,Dark Ascension,9.49
Platinum Emperion,Scars of Mirrodin,18.95
Hand of the Praetors,Scars of Mirrodin,1.90
Seachrome Coast,Scars of Mirrodin,7.49
Snow-Covered Forest,Ice Age,0.69
Breeding Pool,Dissension,17.99
Declaration in Stone,Shadows over Innistrad,0.80
Fortified Village,Shadows over Innistrad,0.89
Heedless One,Onslaught,0.96
Retether,Planar Chaos,2.38
Rites of Flourishing,Future Sight,1.28
Dragonspeaker Shaman,Scourge,2.79
Mountain (242) - Full Art,Zendikar,0.55
Thraximundar,Alara Reborn,1.60
Mind Funeral,Alara Reborn,3.94
Mistbind Clique,Lorwyn,12.86
Chimeric Idol,Prophecy,0.27
Magma Jet,Fifth Dawn,0.47
Master of the Pearl Trident,Magic 2013,5.86
Grand Abolisher,Magic 2012,4.88
Breath of Life,Starter 2000,0.57
Furnace of Rath,Eighth Edition,1.51
Dune-Brood Nephilim,Guildpact,0.92
"Higure, the Still Wind",Planechase Anthology,0.82
Feast of Blood,Media Promos,2.23
Essence Warden,Planar Chaos,1.16
Mishra's Bauble,Coldsnap,9.48
Circle of Protection: Red,Seventh Edition,0.20
Browbeat,Duel Decks: Sorin vs. Tibalt,1.20
Elvish Archdruid,Magic 2012,2.36
Silence,Magic 2014 Core Set,1.29
Lord of Shatterskull Pass,Rise of the Eldrazi,0.93
Flusterstorm,Magic: The Gathering-Commander,45.60
Manaweft Sliver,Magic 2014 Core Set,1.23
Megantic Sliver,Magic 2014 Core Set,0.53
Lightning Crafter,Morningtide,3.04
Ethersworn Canonist,Modern Masters,12.58
"Squee, Goblin Nabob",Modern Masters,3.48
Dragonstorm,Modern Masters,1.21
Lightning Bolt,Modern Masters 2015 Edition,3.00
Blinkmoth Nexus,Modern Masters,5.63
Electrolyze,Modern Masters,0.65
Faerie Macabre,Modern Masters,0.36
Lightning Helix,Modern Masters,4.45
Manamorphose,Modern Masters,7.33
Narcomoeba,Modern Masters,2.62
Spell Snare,Modern Masters,5.49
"Keiga, the Tide Star",Champions of Kamigawa,4.30
"Tajic, Blade of the Legion",Dragon's Maze,0.69
All Hallow's Eve,Legends,197.39
Legion's Initiative,Dragon's Maze,1.48
Maze's End,Dragon's Maze,0.79
"Mirko Vosk, Mind Drinker",Dragon's Maze,0.87
Reya Dawnbringer,Tenth Edition,1.78
Monastery Swiftspear,Khans of Tarkir,1.30
Utvara Hellkite,Return to Ravnica,2.86
Slaughter Games,Return to Ravnica,0.46
City of Brass,Seventh Edition,5.99
Damnation,Planar Chaos,26.74
Rootbound Crag,Magic 2013,3.17
"Odric, Master Tactician",Magic 2013,1.14
Serra Avatar,Magic 2013,1.01
"Yeva, Nature's Herald",Magic 2013,1.16
Vampire Nocturnus,Magic 2013,5.97
Reliquary Tower,Magic 2013,4.66
Staff of Nin,Magic 2013,0.84
Door to Nothingness,Magic 2013,1.24
Spelltwine,Magic 2013,0.36
Zealous Conscripts,Avacyn Restored,0.63
Herald of War,Avacyn Restored,1.70
Descendants' Path,Avacyn Restored,3.13
Increasing Confusion,Dark Ascension,1.34
Mages' Contest,Invasion,0.47
Brave the Sands,Commander 2016,0.57
Diregraf Captain,Dark Ascension,0.29
Kessig Wolf Run,Innistrad,2.45
Endless Ranks of the Dead,Innistrad,5.05
Tree of Redemption,Innistrad,2.40
Urza's Mine (Mouth),Chronicles,1.33
Island - Blue Pack (Eggleton),APAC Lands,16.45
Karplusan Forest,Tenth Edition,4.07
"Jace, Vryn's Prodigy",Magic Origins,21.38
Rune-Scarred Demon,Magic 2012,5.19
Visions of Beyond,Magic 2012,5.78
Porphyry Nodes,Planar Chaos,5.39
Retraced Image,Torment,0.57
Day of Judgment,Magic 2012,2.64
"Chandra, the Firebrand",Magic 2012,2.81
Jace's Archivist,Magic 2012,0.72
Swiftfoot Boots,Magic 2012,0.98
Buried Ruin,Magic 2012,0.82
Noxious Gearhulk,Kaladesh,2.76
Zodiac Ox,Portal Three Kingdoms,3.51
Puppeteer Clique,Modern Masters 2015 Edition,0.93
Sorin's Vengeance,Magic 2012,0.94
Ankh of Mishra,Revised Edition,0.72
Seraph,Fifth Edition,0.81
Solemn Simulacrum,Magic 2012,4.94
Gideon Jura,Magic 2012,5.98
Knight of the Reliquary,Conflux,7.73
Island (234) - Full Art,Zendikar,0.77
Birds of Paradise,Seventh Edition,8.09
Mulldrifter,Duel Decks: Jace vs. Chandra,0.70
Telemin Performance,Conflux,1.43
Nyxathid,Conflux,3.59
Mindslicer,Ninth Edition,4.85
Forest (108),Battle Royale Box Set,1.12
Mystic Snake,Modern Masters 2015 Edition,0.71
Forced Fruition,Lorwyn,9.04
Sower of Temptation,Lorwyn,10.51
Hallowed Burial,Eventide,1.77
Order of Whiteclay,Shadowmoor,1.91
Elvish Promenade,Lorwyn,2.70
Darksteel Reactor,Darksteel,4.37
Gush,Duel Decks: Jace vs. Chandra,13.99
Crypt of Agadeem,Zendikar,1.28
Scalding Tarn,Zendikar,67.45
Relentless Assault,Portal Three Kingdoms,11.45
Dispatch,New Phyrexia,0.99
Phyrexian Unlife,New Phyrexia,5.29
Gitaxian Probe,New Phyrexia,1.79
Chancellor of the Annex,New Phyrexia,4.75
Platinum Angel,Magic 2011,4.91
Batterskull,New Phyrexia,18.76
Postmortem Lunge,New Phyrexia,0.27
Lead the Stampede,Mirrodin Besieged,0.24
Beacon of Immortality,Fifth Dawn,7.37
Creeping Corrosion,Mirrodin Besieged,1.36
Thopter Assembly,Mirrodin Besieged,0.91
Beast Within,Planechase Anthology,1.65
Shimmer Myr,Mirrodin Besieged,0.98
Phyrexian Hydra,Mirrodin Besieged,0.78
Mirrorworks,Mirrodin Besieged,2.17
"Swamp - Blue Pack (Beard, Jr.)",APAC Lands,5.02
"Numot, the Devastator",Planar Chaos,1.65
Asceticism,Scars of Mirrodin,12.26
Grand Architect,Scars of Mirrodin,3.50
Necrotic Ooze,Scars of Mirrodin,1.64
Blue Sun's Zenith,Mirrodin Besieged,1.04
Kuldotha Forgemaster,Scars of Mirrodin,2.36
Void Winnower,Battle for Zendikar,2.89
Champion of the Parish,Innistrad,4.35
Blessed Reversal,Portal,0.63
Shaman of Forgotten Ways,Dragons of Tarkir,3.60
Contagion Clasp,Scars of Mirrodin,0.31
Grafted Exoskeleton,Scars of Mirrodin,0.63
Counterspell,Arena Promos,7.74
Nim Deathmantle,Scars of Mirrodin,5.39
Seedtime,Judgment,1.36
Tectonic Edge,Worldwake,1.60
Misty Rainforest,Zendikar,34.71
Marsh Flats,Zendikar,32.69
Dragon Whelp,Limited Edition Beta,12.83
Standstill,Media Promos,5.20
Ajani Goldmane,Magic 2011,8.05
Garruk Wildspeaker,Magic: The Gathering-Commander,9.00
Elvish Archers,Limited Edition Alpha,296.23
Evil Presence,Limited Edition Beta,13.97
Land Equilibrium,Legends,87.87
Reflecting Pool,Shadowmoor,11.07
Mystic Gate,Shadowmoor,19.15
Greater Auramancy,Shadowmoor,27.74
Cursecatcher,Shadowmoor,9.94
Shield of the Oversoul,Shadowmoor,1.35
Plateau,Revised Edition,73.46
Cavern of Souls,Avacyn Restored,58.61
Phage the Untouchable,Tenth Edition,1.99
Arcanis the Omnipotent,Tenth Edition,1.75
Goblin King,Tenth Edition,4.58
Paladin en-Vec,Tenth Edition,1.16
Might of Oaks,Tenth Edition,0.46
Stromgald Crusader,Coldsnap,1.97
Academy Researchers,Tenth Edition,0.26
"Squee, Goblin Nabob",Tenth Edition,3.58
Rhox,Tenth Edition,0.51
Treetop Village,Tenth Edition,1.56
Caves of Koilos,Tenth Edition,2.00
Jotun Grunt,Coldsnap,0.42
Coat of Arms,Tenth Edition,7.76
Clockwork Avian,Antiquities,3.40
Winter Orb,Limited Edition Beta,235.00
Holy Day,Tenth Edition,0.55
Warping Wail,Oath of the Gatewatch,0.41
Horseshoe Crab,Tenth Edition,0.18
Animate Dead (IE),International Edition,7.75
Fog Bank,Magic: The Gathering-Commander,0.88
Lord of the Undead,Tenth Edition,14.49
Big Game Hunter,Planar Chaos,2.66
